Date,Open,High,Low,Close,Adj Close,Volume
2019-03-25,67800.000000,68700.000000,67500.000000,67500.000000,67500.000000,21100
2019-03-26,68000.000000,68800.000000,67400.000000,68100.000000,68100.000000,16288
2019-03-27,68100.000000,68600.000000,67600.000000,67800.000000,67800.000000,12554
2019-03-28,67700.000000,69900.000000,66900.000000,69200.000000,69200.000000,42014
2019-03-29,69800.000000,69900.000000,68200.000000,69300.000000,69300.000000,22521
2019-04-01,69200.000000,70800.000000,69200.000000,70400.000000,70400.000000,18711
2019-04-02,70000.000000,70400.000000,69000.000000,69000.000000,69000.000000,23709
2019-04-03,68700.000000,70900.000000,68700.000000,70400.000000,70400.000000,17118
2019-04-04,70100.000000,70900.000000,70100.000000,70400.000000,70400.000000,14219
2019-04-05,70400.000000,70700.000000,69600.000000,69800.000000,69800.000000,9592
2019-04-08,69400.000000,70400.000000,68700.000000,69000.000000,69000.000000,23405
2019-04-09,69000.000000,69300.000000,67900.000000,68200.000000,68200.000000,32088
2019-04-10,68200.000000,70200.000000,68100.000000,69800.000000,69800.000000,26683
2019-04-11,70100.000000,71700.000000,70100.000000,71200.000000,71200.000000,38087
2019-04-12,71300.000000,71300.000000,70300.000000,70600.000000,70600.000000,23037
2019-04-15,71000.000000,71500.000000,70600.000000,71100.000000,71100.000000,22356
2019-04-16,71200.000000,71800.000000,70200.000000,70600.000000,70600.000000,22379
2019-04-17,70500.000000,72800.000000,70400.000000,72800.000000,72800.000000,64611
2019-04-18,72900.000000,73700.000000,68500.000000,70900.000000,70900.000000,53794
2019-04-19,70900.000000,71900.000000,69800.000000,71600.000000,71600.000000,19414
2019-04-22,71100.000000,71400.000000,69400.000000,69900.000000,69900.000000,28792
2019-04-23,69500.000000,70400.000000,69300.000000,69800.000000,69800.000000,24532
2019-04-24,69800.000000,70000.000000,68000.000000,68500.000000,68500.000000,29645
2019-04-25,68900.000000,69100.000000,67200.000000,67400.000000,67400.000000,35020
2019-04-26,67200.000000,67700.000000,66000.000000,66000.000000,66000.000000,33504
2019-04-29,66800.000000,68000.000000,66700.000000,67700.000000,67700.000000,25183
2019-04-30,67700.000000,68200.000000,67200.000000,67700.000000,67700.000000,14211
2019-05-02,68100.000000,68100.000000,66900.000000,67500.000000,67500.000000,24766
2019-05-03,67900.000000,67900.000000,66700.000000,67200.000000,67200.000000,26621
2019-05-07,66600.000000,66600.000000,65000.000000,65400.000000,65400.000000,42438
2019-05-08,65000.000000,66100.000000,64500.000000,65300.000000,65300.000000,27647
2019-05-09,65900.000000,65900.000000,64100.000000,64100.000000,64100.000000,37128
2019-05-10,64000.000000,64900.000000,63100.000000,63400.000000,63400.000000,28924
2019-05-13,63000.000000,63000.000000,60400.000000,61000.000000,61000.000000,53288
2019-05-14,60900.000000,60900.000000,59400.000000,60400.000000,60400.000000,41371
2019-05-15,60000.000000,61600.000000,60000.000000,61300.000000,61300.000000,28385
2019-05-16,60400.000000,61400.000000,60200.000000,61000.000000,61000.000000,20419
2019-05-17,61100.000000,62100.000000,60000.000000,60400.000000,60400.000000,19502
2019-05-20,60400.000000,61000.000000,59900.000000,59900.000000,59900.000000,14084
2019-05-21,59600.000000,60000.000000,59100.000000,59300.000000,59300.000000,24682
2019-05-22,59300.000000,60000.000000,59100.000000,59600.000000,59600.000000,13585
2019-05-23,60000.000000,60000.000000,57800.000000,57800.000000,57800.000000,28724
2019-05-24,57800.000000,58300.000000,57300.000000,58200.000000,58200.000000,19573
2019-05-27,57700.000000,59100.000000,57600.000000,59100.000000,59100.000000,16959
2019-05-28,59200.000000,59600.000000,58100.000000,58300.000000,58300.000000,41964
2019-05-29,58000.000000,58800.000000,56900.000000,57000.000000,57000.000000,25538
2019-05-30,57500.000000,57500.000000,56100.000000,56400.000000,56400.000000,29007
2019-05-31,56400.000000,56900.000000,56000.000000,56900.000000,56900.000000,31765
2019-06-03,56500.000000,56500.000000,55700.000000,56300.000000,56300.000000,29709
2019-06-04,56500.000000,58000.000000,56300.000000,57500.000000,57500.000000,36970
2019-06-05,57800.000000,58300.000000,57200.000000,57400.000000,57400.000000,24580
2019-06-07,57700.000000,58900.000000,57600.000000,58300.000000,58300.000000,17846
2019-06-10,58900.000000,59000.000000,57900.000000,58400.000000,58400.000000,12983
2019-06-11,58400.000000,59600.000000,58400.000000,59400.000000,59400.000000,18897
2019-06-12,59000.000000,59800.000000,59000.000000,59200.000000,59200.000000,14657
